VIN:CDGAM;CDGAM;008;009;010;011;012;013;014;015;026;042;055;062
73F1G16DERA;X96;L96;;L2;CT5;;TUB1;;ELISE;RLINK2;;CUIR1;LED0
74F1G16DERA;X96;L96;;L2;CT5;;TUB1;;ELISE;RLINK2;;CUIR1;LED0
75F1G16DERA;X96;J96;;L2;CT4;;TUB1;;FORM;RLINK0;;CUIR1;LED0
76F1G16DERA;X96;J96;;L2;CT4;;TUB1;;ACCE;RLINK0;;CUIR1;LED0
77F1G16DERA;X96;J96;;L2;CT4;;TUB1;;ACCE;RLINK2;;CUIR1;LED0
78F1G16DERA;X96;J96;;L2;CT4;;TUB2;;ACCE;RLINK2;;CUIR1;LED0
79F1G16DERA;X96;B96;;L2;CT4;;TUB0;;ACCE;RLINK2;;CUIR1;LED0
80F1G16DERA;X96;B96;;L2;CT4;;TUB0;;ELISE;RLINK0;;CUIR1;LED0
81F1G16DERA;X96;L96;;L2;CT4;;TUB0;;ELISE;RLINK0;;CUIR1;LED0
82F1G16DERA;X96;L96;;L2;CT2;;TUB0;;ACCE;RLINK0;;CUIR3;LED0
83F1G16DERA;X96;J96;;L2;CT2;;TUB0;;ACCE;RLINK2;;CUIR2;LED0
84F1G16DERA;X96;J96;;L2;CT2;;TUB0;;ACCE;RLINK2;;CUIR2;LED0
85F1G16DERA;X96;J96;;L2;CT2;;TUB0;;ELISE;RLINK2;;CUIR2;LED0
86F1G16DERA;X96;J96;;L2;CT2;;TUB0;;ELISE;RLINK0;;CUIR2;LED0
87F1G16DERA;X96;B96;;L2;CT2;;TUB0;;FORM;RLINK0;;CUIR2;LED0
88F1G16DERA;X96;B96;;L2;CT2;;TUB0;;ACCE;RLINK2;;CUIR2;LED0
89F1G16DERA;X96;B96;;L2;CT5;;TUB0;;ACCE;RLINK2;;CUIR2;LED0
90F1G16DERA;X96;B96;;L2;CT4;;TUB0;;ACCE;RLINK2;;CUIR2;LED0
91F1G16DERA;X96;J96;;L2;CT4;;TUB0;;ACCE;RLINK0;;CUIR0;LED0
92F1G16DERA;X96;J96;;L2;CT4;;TUB2;;ELISE;RLINK0;;CUIR3;LED0
93F1G16DERA;X96;J96;;L2;CT4;;TUB1;;ELISE;RLINK2;;CUIR3;LED0
94F1G16DERA;X96;J96;;L2;CT4;;TUB1;;ACCE;RLINK2;;CUIR3;LED0
95F1G16DERA;X96;J96;;L2;CT5;;TUB1;;ACCE;RLINK2;;CUIR3;LED0
96F1G16DERA;X96;J96;;L2;CT2;;TUB1;;ACCE;RLINK0;;CUIR1;LED0
97F1G16DERA;X96;B96;;L2;CT2;;TUB1;;ELISE;RLINK0;;CUIR1;LED0
98F1G16DERA;X96;B96;;L2;CT2;;TUB2;;ELISE;RLINK2;;CUIR1;LED0
99F1G16DERA;X96;B96;;L2;CT4;;TUB2;;FORM;RLINK2;;CUIR3;LED0
